Conto : Lorem Ipsum Blah Blah;;;;;;;;;;;
Data estrazione : 27-7-2026 13:47:50;;;;;;;;;;;
;;;;;;;;;;;
Tutti i movimenti ordinati per Data Operazione;;;;;;;;;;;
Dal : 01-07-2022;;;;;;;;;;;
al : 27-07-2026;;;;;;;;;;;
;;;;;;;;;;;
Il file include i primi 3000 movimenti;;;;;;;;;;;
;;;;;;;;;;;
Data operazione;Data valuta;Tipo operazione;Ticker;Isin;Protocollo;Descrizione;Quantità;Importo euro;Importo Divisa;Divisa;Riferimento ordine
11-02-2025;11-02-2025;Conferimento con bonifico;;;17371472;;0;805;0;EUR;
15-01-2025;17-01-2025;Acquisto;CSEMU;IE00B53QG562;;ISHARESCOREMSCIEMU(ACC) UCITS;1;-180,18;0;EUR;
15-01-2025;17-01-2025;Acquisto;EGOV;LU1437018598;;Amundi Core Euro Government Bo;2;-97,43;0;EUR;
15-01-2025;17-01-2025;Acquisto;EIMI;IE00BKM4GZ66;;ISHARES CORE MSCI EM IMI UCITS;8;-262,6;0;EUR;
15-01-2025;17-01-2025;Acquisto;XDEW;IE00BLNMYC90;;XTRACKERS S&P 500 EQUAL WEIGHT;5;-470,55;0;EUR;
15-01-2025;17-01-2025;Acquisto;GAGG;LU1437024729;;Amundi Core Global Aggregate B;4;-202,6;0;EUR;
13-01-2025;13-01-2025;Conferimento con bonifico;;;17275576;;0;1147;0;EUR;
10-01-2025;31-12-2024;Bollo portafoglio titoli*;;;35400711;;0;-17,9;0;EUR;
23-12-2024;27-12-2024;Acquisto;VWCE;IE00BK5BQT80;;Vanguard Ftse All-World Ucits;1;-133,76;0;EUR;
23-12-2024;27-12-2024;Acquisto;WGLD;JE00BN2CJ301;;WISDOMTREE CORE PHYSICAL GOLD;2;-500,36;0;EUR;
23-12-2024;27-12-2024;Acquisto;EGOV;LU1437018598;;Amundi Core Euro Government Bo;8;-396,44;0;EUR;
23-12-2024;27-12-2024;Acquisto;XDEW;IE00BLNMYC90;;XTRACKERS S&P 500 EQUAL WEIGHT;10;-917,3;0;EUR;
23-12-2024;27-12-2024;Vendita;XEON;LU0290358497;;XTRACKERS II EUR OVNI RATE SWA;7;1013,16;0;EUR;
23-12-2024;27-12-2024;Rit. etf;XEON;LU0290358497;;XTRACKERS II EUR OVNI RATE SWA;0;-0,48;0;EUR;
23-12-2024;27-12-2024;Vendita;SWDA;IE00B4L5Y983;;ISHARES CORE MSCI WORLD UCITS;12;1251,36;0;EUR;
23-12-2024;27-12-2024;Rit. etf;SWDA;IE00B4L5Y983;;ISHARES CORE MSCI WORLD UCITS;0;-49,89;0;EUR;
18-12-2024;20-12-2024;Acquisto;VWCE;IE00BK5BQT80;;Vanguard Ftse All-World Ucits;29;-3936,46;0;EUR;
18-12-2024;20-12-2024;Vendita;XEON;LU0290358497;;XTRACKERS II EUR OVNI RATE SWA;27;3906,1;0;EUR;
18-12-2024;20-12-2024;Rit. etf;XEON;LU0290358497;;XTRACKERS II EUR OVNI RATE SWA;0;-1,61;0;EUR;
16-12-2024;18-12-2024;Acquisto;XEON;LU0290358497;;XTRACKERS II EUR OVNI RATE SWA;12;-1735,66;0;EUR;
11-12-2024;11-12-2024;Conferimento con bonifico;;;17181187;;0;1679;0;EUR;
15-11-2024;19-11-2024;Acquisto;XEON;LU0290358497;;XTRACKERS II EUR OVNI RATE SWA;15;-2164,7;0;EUR;
12-11-2024;12-11-2024;Conferimento con bonifico;;;17102610;;0;2262;0;EUR;
08-11-2024;12-11-2024;Acquisto;XEON;LU0290358497;;XTRACKERS II EUR OVNI RATE SWA;25;-3605,75;0;EUR;
04-11-2024;04-11-2024;Conferimento con bonifico;;;17080735;;0;3279;0;EUR;
01-11-2024;05-11-2024;Acquisto;XEON;LU0290358497;;XTRACKERS II EUR OVNI RATE SWA;182;-26243,62;0;EUR;
30-10-2024;30-10-2024;Conferimento con bonifico;;;17069893;;0;19031;0;EUR;
29-10-2024;29-10-2024;Conferimento con bonifico;;;17066007;;0;7338;0;EUR;
23-10-2024;25-10-2024;Acquisto;XEON;LU0290358497;;XTRACKERS II EUR OVNI RATE SWA;6;-863,88;0;EUR;
18-10-2024;18-10-2024;Conferimento con bonifico;;;17040336;;0;1000;0;EUR;
14-10-2024;15-10-2024;Prelievo bonifico;;;17020115;;0;-100;0;EUR;
11-10-2024;15-10-2024;Vendita;XEON;LU0290358497;;XTRACKERS II EUR OVNI RATE SWA;1;143,81;0;EUR;
11-10-2024;15-10-2024;Rit. etf;XEON;LU0290358497;;XTRACKERS II EUR OVNI RATE SWA;0;-0,01;0;EUR;
09-10-2024;11-10-2024;Acquisto;XEON;LU0290358497;;XTRACKERS II EUR OVNI RATE SWA;1;-143,77;0;EUR;
30-09-2024;30-09-2024;Conferimento con bonifico;;;16984196;;0;200;0;EUR;
